section,model_or_analysis,term,n,estimate,robust_SE_HC3,CI_low,CI_high,P,R2,adjusted_R2,AIC
Coefficients,M0 historical smoking only,Intercept,,-0.0000,0.0634,-0.1251,0.1251,1.0000,,,
Coefficients,M0 historical smoking only,z_exposure,,0.6044,0.0772,0.4519,0.7569,0.0000,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",Intercept,,0.0375,0.1086,-0.1770,0.2521,0.7300,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",z_exposure,,0.3229,0.0812,0.1626,0.4833,0.0001,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",z_log_GDP,,0.4830,0.0968,0.2919,0.6742,0.0000,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",z_urbanisation,,0.0274,0.0782,-0.1270,0.1819,0.7261,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",WHO_region_Americas,,-0.1356,0.1595,-0.4506,0.1794,0.3963,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",WHO_region_Eastern Mediterranean,,-0.3497,0.1933,-0.7316,0.0323,0.0725,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",WHO_region_European,,-0.0616,0.1749,-0.4072,0.2840,0.7253,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",WHO_region_South-East Asia,,-0.1745,0.2172,-0.6036,0.2546,0.4229,,,
Coefficients,"M1 + GDP, urbanisation, WHO region",WHO_region_Western Pacific,,0.3162,0.2360,-0.1500,0.7824,0.1822,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,Intercept,,-0.0018,0.1253,-0.2494,0.2458,0.9886,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,z_exposure,,0.3106,0.0882,0.1363,0.4848,0.0006,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,z_log_GDP,,0.5122,0.1269,0.2615,0.7629,0.0001,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,z_urbanisation,,0.0375,0.0859,-0.1321,0.2072,0.6628,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,z_clean_fuel_deficit,,0.0620,0.1045,-0.1445,0.2686,0.5538,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,z_PM25_2019,,-0.0114,0.0800,-0.1695,0.1468,0.8870,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,WHO_region_Americas,,-0.0865,0.2055,-0.4925,0.3195,0.6742,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,WHO_region_Eastern Mediterranean,,-0.2814,0.2361,-0.7479,0.1851,0.2352,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,WHO_region_European,,0.0041,0.2030,-0.3970,0.4052,0.9840,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,WHO_region_South-East Asia,,-0.1331,0.2237,-0.5750,0.3088,0.5527,,,
Coefficients,M2 + clean-fuel deficit and PM2.5,WHO_region_Western Pacific,,0.3456,0.2328,-0.1144,0.8056,0.1397,,,
Model fit,M0 historical smoking only,,163.0000,,,,,,0.3653,0.3614,392.4736
Model fit,"M1 + GDP, urbanisation, WHO region",,163.0000,,,,,,0.5639,0.5412,345.3068
Model fit,M2 + clean-fuel deficit and PM2.5,,161.0000,,,,,,0.5647,0.5357,346.6883
