figure_id,title,png_file,pdf_file
Figure S1,"Figure S1. Prevention-care pathway visibility matrix. Indicator availability across exposure, burden, diagnosis, treatment, survival, and socioeconomic outcome domains.",supplementary/figures/Figure_S1_data_visibility_matrix.png,supplementary/figures/Figure_S1_data_visibility_matrix.pdf
Figure S2,Figure S2. Missingness heatmap for core indicators. Countries and variables are ordered to show where complete overlap is gained or lost.,supplementary/figures/Figure_S2_missingness_heatmap.png,supplementary/figures/Figure_S2_missingness_heatmap.pdf
Figure S3,Figure S3. Missingness by WHO region and income group. Coverage patterns show the data-system dimension of equity surveillance.,supplementary/figures/Figure_S3_missingness_by_region_and_income.png,supplementary/figures/Figure_S3_missingness_by_region_and_income.pdf
Figure S4,"Figure S4. Clean-fuel deficit, development gradients, and rural disadvantage. Clean-fuel deficit is interpreted as a structural household energy equity indicator.",supplementary/figures/Figure_S4_clean_fuel_inequity_gradients.png,supplementary/figures/Figure_S4_clean_fuel_inequity_gradients.pdf
Figure S5,"Figure S5. Historical female smoking model diagnostics. First-stage smoking-adjusted models for female lung-cancer mortality, YLL, and DALY.",supplementary/figures/Figure_S5_historical_smoking_coefficients.png,supplementary/figures/Figure_S5_historical_smoking_coefficients.pdf
Figure S6,"Figure S6. Environmental indicators and smoking-adjusted burden residuals. Clean-fuel deficit, PM2.5, and rural clean-fuel disadvantage are shown as country-level residual model predictors with HC3 robust 95% confidence intervals.",supplementary/figures/Figure_S6_environmental_residual_models.png,supplementary/figures/Figure_S6_environmental_residual_models.pdf
Figure S7,Figure S7. PM2.5 heterogeneity and influence diagnostics. Sensitivity analyses for non-high-income countries.,supplementary/figures/Figure_S7_pm25_heterogeneity_robustness.png,supplementary/figures/Figure_S7_pm25_heterogeneity_robustness.pdf
Figure S8,Figure S8. Smoking-adjusted burden residual scatter diagnostics. Scatter plots show mortality-based residual patterns against clean-fuel deficit and ambient PM2.5.,supplementary/figures/Figure_S8_smoking_adjusted_burden_residual_scatter_diagnostics.png,supplementary/figures/Figure_S8_smoking_adjusted_burden_residual_scatter_diagnostics.pdf
Figure S9,Figure S9. Mortality- and incidence-based residual consistency. Scatter plot and correlation statistics comparing residual definitions.,supplementary/figures/Figure_S9_outcome_uncertainty_proxy_residual_consistency.png,supplementary/figures/Figure_S9_outcome_uncertainty_proxy_residual_consistency.pdf
Figure S10,"Figure S10. Current exposure typology summary. Summary of low, single, double, and triple exposure classifications based on top-tertile exposure thresholds.",supplementary/figures/Figure_S10_current_exposure_typology_summary.png,supplementary/figures/Figure_S10_current_exposure_typology_summary.pdf
Figure S11,Figure S11. Standalone exposure typology heatmap. Country-level heatmap of z-scored exposure and burden variables ordered by exposure typology.,supplementary/figures/Figure_S11_typology_heatmap_standalone.png,supplementary/figures/Figure_S11_typology_heatmap_standalone.pdf
Figure S12,"Figure S12. Multiple-exposure score sensitivity. Equal-weighted, PCA-weighted, rank-based, and tertile-score variants are compared as transparent surveillance heuristics.",supplementary/figures/Figure_S12_multiple_exposure_score_sensitivity.png,supplementary/figures/Figure_S12_multiple_exposure_score_sensitivity.pdf
Figure S13,Figure S13. Illustrative country profiles for surveillance interpretation. Examples are descriptive and are not causal country assessments.,supplementary/figures/Figure_S13_illustrative_country_profiles.png,supplementary/figures/Figure_S13_illustrative_country_profiles.pdf
Figure S14,"Figure S14. Sensitivity analysis summary. Summary of smoking-window, outcome replacement, exposure replacement, typology threshold, clustering, imputation, influence, and stratified analyses.",supplementary/figures/Figure_S14_sensitivity_summary.png,supplementary/figures/Figure_S14_sensitivity_summary.pdf
Figure S15,"Figure S15. Lagged environmental exposure models. Historical smoking, persistent clean-fuel deficit, and PM2.5 latency windows.",supplementary/figures/Figure_S15_lagged_environmental_exposure_models.png,supplementary/figures/Figure_S15_lagged_environmental_exposure_models.pdf
Figure S16,Figure S16. Model performance comparison. Environmental indicators were more useful for subgroup surveillance than for uniform global residual explanation.,supplementary/figures/Figure_S16_model_performance_comparison.png,supplementary/figures/Figure_S16_model_performance_comparison.pdf
Figure S17,Figure S17. Measured exposure-burden profile matrix. This former main-text matrix is included as a supplementary descriptive surveillance figure with neutral profile labels.,supplementary/figures/Figure_S17_measured_exposure_burden_profile_matrix.png,supplementary/figures/Figure_S17_measured_exposure_burden_profile_matrix.pdf
