table_id,title,file,rows,columns
Table S1,Table S1. Indicator dictionary and source coverage.,supplementary/tables/Table_S01_indicator_dictionary_and_source_coverage.csv,23,18
Table S2,Table S2. Variable dictionary and derived measures.,supplementary/tables/Table_S02_variable_dictionary_and_derived_measures.csv,50,3
Table S3,Table S3. Core variable country coverage.,supplementary/tables/Table_S03_core_variable_country_coverage.csv,27,4
Table S4,Table S4. Missingness by WHO region and income group.,supplementary/tables/Table_S04_missingness_by_who_region_and_income_group.csv,204,5
Table S5,Table S5. Included versus excluded country characteristics.,supplementary/tables/Table_S05_included_versus_excluded_country_characteristics.csv,19,8
Table S6,Table S6. Descriptive global patterns by WHO region and income group.,supplementary/tables/Table_S06_descriptive_global_patterns_by_who_region_and_income_group.csv,138,17
Table S7,Table S7. Clean-fuel inequity gradients.,supplementary/tables/Table_S07_clean_fuel_inequity_gradients.csv,41,14
Table S8,Table S8. Historical smoking model coefficients.,supplementary/tables/Table_S08_historical_smoking_model_coefficients.csv,163,24
Table S9,Table S9. Historical smoking model fit statistics.,supplementary/tables/Table_S09_historical_smoking_model_fit_statistics.csv,154,24
Table S10,Table S10. Environmental residual model coefficients.,supplementary/tables/Table_S10_environmental_residual_model_coefficients.csv,129,24
Table S11,Table S11. Outcome replacement and mortality-incidence residual consistency.,supplementary/tables/Table_S11_outcome_replacement_and_mortality_incidence_residual_consistency.csv,52,15
Table S12,Table S12. Exploratory exposure typology results.,supplementary/tables/Table_S12_exploratory_exposure_typology_results.csv,353,46
Table S13,Table S13. Multiple-exposure score validation and weighting sensitivity.,supplementary/tables/Table_S13_multiple_exposure_score_validation_and_weighting_sensitivity.csv,347,38
Table S14,Table S14. Surveillance profile threshold sensitivity.,supplementary/tables/Table_S14_surveillance_profile_threshold_sensitivity.csv,56,22
Table S15,Table S15. Smoking-window sensitivity analyses.,supplementary/tables/Table_S15_smoking_window_sensitivity_analyses.csv,92,24
Table S16,Table S16. Exposure replacement sensitivity analyses.,supplementary/tables/Table_S16_exposure_replacement_sensitivity_analyses.csv,1261,32
Table S17,Table S17. Missing-data and imputation sensitivity analyses.,supplementary/tables/Table_S17_missing_data_and_imputation_sensitivity_analyses.csv,183,12
Table S18,Table S18. Influence diagnostics and robust regression.,supplementary/tables/Table_S18_influence_diagnostics_and_robust_regression.csv,549,36
Table S19,Table S19. Stratified and interaction models.,supplementary/tables/Table_S19_stratified_and_interaction_models.csv,140,42
Table S20,Table S20. Formal data visibility and care-pathway gap table.,supplementary/tables/Table_S20_formal_data_visibility_and_care_pathway_gap_table.csv,14,5
