Table S4. Missingness by WHO region and income group.,Table S4. Missingness by WHO region and income group.,Table S4. Missingness by WHO region and income group.,Table S4. Missingness by WHO region and income group.,Table S4. Missingness by WHO region and income group.
Subtable 1. Missingness by region.,Subtable 1. Missingness by region.,Subtable 1. Missingness by region.,Subtable 1. Missingness by region.,Subtable 1. Missingness by region.
WHO region,Variable,Non missing N,Group N,Non missing pct
African,female smoking 2000,39,47,83.0
African,female smoking 2005,39,47,83.0
African,female smoking 2010,39,47,83.0
African,female smoking 2022,39,47,83.0
African,historical female smoking,39,47,83.0
African,clean fuel 2020,47,47,100.0
African,clean fuel urban 2020,47,47,100.0
African,clean fuel rural 2020,47,47,100.0
African,PM2.5 2019,47,47,100.0
African,female LC mort 2021,47,47,100.0
African,female LC YLL 2021,47,47,100.0
African,female LC DALY 2021,47,47,100.0
African,female LC incidence 2021,47,47,100.0
African,GDP,47,47,100.0
African,HDI,46,47,97.9
African,SDI,47,47,100.0
African,urbanisation,47,47,100.0
African,age65,47,47,100.0
Americas,female smoking 2000,26,36,72.2
Americas,female smoking 2005,26,36,72.2
Americas,female smoking 2010,26,36,72.2
Americas,female smoking 2022,26,36,72.2
Americas,historical female smoking,26,36,72.2
Americas,clean fuel 2020,35,36,97.2
Americas,clean fuel urban 2020,35,36,97.2
Americas,clean fuel rural 2020,35,36,97.2
Americas,PM2.5 2019,35,36,97.2
Americas,female LC mort 2021,36,36,100.0
Americas,female LC YLL 2021,36,36,100.0
Americas,female LC DALY 2021,36,36,100.0
Americas,female LC incidence 2021,35,36,97.2
Americas,GDP,36,36,100.0
Americas,HDI,29,36,80.6
Americas,SDI,36,36,100.0
Americas,urbanisation,36,36,100.0
Americas,age65,36,36,100.0
Eastern Mediterranean,female smoking 2000,16,22,72.7
Eastern Mediterranean,female smoking 2005,16,22,72.7
Eastern Mediterranean,female smoking 2010,16,22,72.7
Eastern Mediterranean,female smoking 2022,16,22,72.7
Eastern Mediterranean,historical female smoking,16,22,72.7
Eastern Mediterranean,clean fuel 2020,19,22,86.4
Eastern Mediterranean,clean fuel urban 2020,19,22,86.4
Eastern Mediterranean,clean fuel rural 2020,19,22,86.4
Eastern Mediterranean,PM2.5 2019,22,22,100.0
Eastern Mediterranean,female LC mort 2021,22,22,100.0
Eastern Mediterranean,female LC YLL 2021,22,22,100.0
Eastern Mediterranean,female LC DALY 2021,22,22,100.0
Eastern Mediterranean,female LC incidence 2021,21,22,95.5
Eastern Mediterranean,GDP,22,22,100.0
Eastern Mediterranean,HDI,17,22,77.3
Eastern Mediterranean,SDI,22,22,100.0
Eastern Mediterranean,urbanisation,22,22,100.0
Eastern Mediterranean,age65,22,22,100.0
European,female smoking 2000,49,53,92.5
European,female smoking 2005,49,53,92.5
European,female smoking 2010,49,53,92.5
European,female smoking 2022,49,53,92.5
European,historical female smoking,49,53,92.5
European,clean fuel 2020,52,53,98.1
European,clean fuel urban 2020,52,53,98.1
European,clean fuel rural 2020,52,53,98.1
European,PM2.5 2019,53,53,100.0
European,female LC mort 2021,53,53,100.0
European,female LC YLL 2021,53,53,100.0
European,female LC DALY 2021,53,53,100.0
European,female LC incidence 2021,53,53,100.0
European,GDP,53,53,100.0
European,HDI,45,53,84.9
European,SDI,53,53,100.0
European,urbanisation,53,53,100.0
European,age65,53,53,100.0
South-East Asia,female smoking 2000,10,10,100.0
South-East Asia,female smoking 2005,10,10,100.0
South-East Asia,female smoking 2010,10,10,100.0
South-East Asia,female smoking 2022,10,10,100.0
South-East Asia,historical female smoking,10,10,100.0
South-East Asia,clean fuel 2020,10,10,100.0
South-East Asia,clean fuel urban 2020,10,10,100.0
South-East Asia,clean fuel rural 2020,10,10,100.0
South-East Asia,PM2.5 2019,10,10,100.0
South-East Asia,female LC mort 2021,10,10,100.0
South-East Asia,female LC YLL 2021,10,10,100.0
South-East Asia,female LC DALY 2021,10,10,100.0
South-East Asia,female LC incidence 2021,10,10,100.0
South-East Asia,GDP,9,10,90.0
South-East Asia,HDI,8,10,80.0
South-East Asia,SDI,10,10,100.0
South-East Asia,urbanisation,10,10,100.0
South-East Asia,age65,10,10,100.0
Western Pacific,female smoking 2000,25,29,86.2
Western Pacific,female smoking 2005,25,29,86.2
Western Pacific,female smoking 2010,25,29,86.2
Western Pacific,female smoking 2022,25,29,86.2
Western Pacific,historical female smoking,25,29,86.2
Western Pacific,clean fuel 2020,28,29,96.6
Western Pacific,clean fuel urban 2020,28,29,96.6
Western Pacific,clean fuel rural 2020,28,29,96.6
Western Pacific,PM2.5 2019,28,29,96.6
Western Pacific,female LC mort 2021,29,29,100.0
Western Pacific,female LC YLL 2021,29,29,100.0
Western Pacific,female LC DALY 2021,28,29,96.6
Western Pacific,female LC incidence 2021,28,29,96.6
Western Pacific,GDP,26,29,89.7
Western Pacific,HDI,19,29,65.5
Western Pacific,SDI,29,29,100.0
Western Pacific,urbanisation,26,29,89.7
Western Pacific,age65,26,29,89.7
Subtable 2. Missingness by income.,Subtable 2. Missingness by income.,Subtable 2. Missingness by income.,Subtable 2. Missingness by income.,Subtable 2. Missingness by income.
Income group,Variable,Non missing N,Group N,Non missing pct
High-income,female smoking 2000,58,64,90.6
High-income,female smoking 2005,58,64,90.6
High-income,female smoking 2010,58,64,90.6
High-income,female smoking 2022,58,64,90.6
High-income,historical female smoking,58,64,90.6
High-income,clean fuel 2020,62,64,96.9
High-income,clean fuel urban 2020,62,64,96.9
High-income,clean fuel rural 2020,62,64,96.9
High-income,PM2.5 2019,63,64,98.4
High-income,female LC mort 2021,64,64,100.0
High-income,female LC YLL 2021,64,64,100.0
High-income,female LC DALY 2021,64,64,100.0
High-income,female LC incidence 2021,63,64,98.4
High-income,GDP,64,64,100.0
High-income,HDI,43,64,67.2
High-income,SDI,64,64,100.0
High-income,urbanisation,64,64,100.0
High-income,age65,64,64,100.0
Low-income,female smoking 2000,18,25,72.0
Low-income,female smoking 2005,18,25,72.0
Low-income,female smoking 2010,18,25,72.0
Low-income,female smoking 2022,18,25,72.0
Low-income,historical female smoking,18,25,72.0
Low-income,clean fuel 2020,25,25,100.0
Low-income,clean fuel urban 2020,25,25,100.0
Low-income,clean fuel rural 2020,25,25,100.0
Low-income,PM2.5 2019,25,25,100.0
Low-income,female LC mort 2021,25,25,100.0
Low-income,female LC YLL 2021,25,25,100.0
Low-income,female LC DALY 2021,25,25,100.0
Low-income,female LC incidence 2021,25,25,100.0
Low-income,GDP,24,25,96.0
Low-income,HDI,24,25,96.0
Low-income,SDI,25,25,100.0
Low-income,urbanisation,25,25,100.0
Low-income,age65,25,25,100.0
Lower-middle-income,female smoking 2000,42,50,84.0
Lower-middle-income,female smoking 2005,42,50,84.0
Lower-middle-income,female smoking 2010,42,50,84.0
Lower-middle-income,female smoking 2022,42,50,84.0
Lower-middle-income,historical female smoking,42,50,84.0
Lower-middle-income,clean fuel 2020,48,50,96.0
Lower-middle-income,clean fuel urban 2020,48,50,96.0
Lower-middle-income,clean fuel rural 2020,48,50,96.0
Lower-middle-income,PM2.5 2019,50,50,100.0
Lower-middle-income,female LC mort 2021,50,50,100.0
Lower-middle-income,female LC YLL 2021,50,50,100.0
Lower-middle-income,female LC DALY 2021,50,50,100.0
Lower-middle-income,female LC incidence 2021,49,50,98.0
Lower-middle-income,GDP,50,50,100.0
Lower-middle-income,HDI,46,50,92.0
Lower-middle-income,SDI,50,50,100.0
Lower-middle-income,urbanisation,50,50,100.0
Lower-middle-income,age65,50,50,100.0
Upper-middle-income,female smoking 2000,45,53,84.9
Upper-middle-income,female smoking 2005,45,53,84.9
Upper-middle-income,female smoking 2010,45,53,84.9
Upper-middle-income,female smoking 2022,45,53,84.9
Upper-middle-income,historical female smoking,45,53,84.9
Upper-middle-income,clean fuel 2020,52,53,98.1
Upper-middle-income,clean fuel urban 2020,52,53,98.1
Upper-middle-income,clean fuel rural 2020,52,53,98.1
Upper-middle-income,PM2.5 2019,53,53,100.0
Upper-middle-income,female LC mort 2021,53,53,100.0
Upper-middle-income,female LC YLL 2021,53,53,100.0
Upper-middle-income,female LC DALY 2021,53,53,100.0
Upper-middle-income,female LC incidence 2021,53,53,100.0
Upper-middle-income,GDP,53,53,100.0
Upper-middle-income,HDI,49,53,92.5
Upper-middle-income,SDI,53,53,100.0
Upper-middle-income,urbanisation,53,53,100.0
Upper-middle-income,age65,53,53,100.0
,female smoking 2000,2,5,40.0
,female smoking 2005,2,5,40.0
,female smoking 2010,2,5,40.0
,female smoking 2022,2,5,40.0
,historical female smoking,2,5,40.0
,clean fuel 2020,4,5,80.0
,clean fuel urban 2020,4,5,80.0
,clean fuel rural 2020,4,5,80.0
,PM2.5 2019,4,5,80.0
,female LC mort 2021,5,5,100.0
,female LC YLL 2021,5,5,100.0
,female LC DALY 2021,4,5,80.0
,female LC incidence 2021,4,5,80.0
,GDP,2,5,40.0
,HDI,2,5,40.0
,SDI,5,5,100.0
,urbanisation,2,5,40.0
,age65,2,5,40.0
Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): missingness by region; missingness by income.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): missingness by region; missingness by income.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): missingness by region; missingness by income.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): missingness by region; missingness by income.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): missingness by region; missingness by income.
