Table S20. Formal pathway visibility table.,Table S20. Formal pathway visibility table.,Table S20. Formal pathway visibility table.,Table S20. Formal pathway visibility table.,Table S20. Formal pathway visibility table.
Pathway component,Indicator available,Disaggregation,Global coverage,Gap
Female tobacco exposure,Yes,"Sex; DHS/Eurostat sometimes education, wealth, residence, migration",165 countries for female smoking 2022,"Tobacco exposure is visible, but socioeconomic tobacco inequality is survey-dependent and incomplete globally."
Household energy poverty / clean cooking fuels,Yes,Residence; DHS/UNICEF sometimes wealth and subnational region,191 countries for clean fuel 2020,Clean-fuel exposure and residence gaps are visible; wealth-stratified measures are less globally complete.
Ambient PM2.5 exposure,Yes,Residence; limited socioeconomic disaggregation,195 countries for PM2.5 2019,"Ambient exposure is visible, but not deeply stratified by socioeconomic position."
Female lung cancer mortality / YLL / DALY,Yes,Sex; age in separate GHE age files if downloaded,197 mortality; 197 YLL; 196 DALY,"Burden is visible by sex, supporting gendered surveillance."
Female lung cancer incidence,Yes,Sex,194 countries,"Incidence sensitivity is possible, but the source differs from GHE mortality/YLL/DALY."
LDCT screening,Largely absent,None identified,0 lung-cancer-specific global indicator identified,Prevention-to-screening transition is largely invisible.
Stage at diagnosis,Absent,None identified,0 global stage indicator identified,Diagnostic delay and stage inequity cannot be evaluated globally in HIDR.
Pathology / molecular subtype,Absent,None identified,0 global histology / molecular subtype indicator identified,"Never-smoker, adenocarcinoma, EGFR/ALK, and histologic patterns are not measurable in HIDR."
Treatment access and quality,Absent,None identified for lung-cancer-specific treatment,0 global lung-cancer treatment indicator identified,Treatment-pathway equity is not measurable with current HIDR indicators.
Survival,Absent,None identified,0 global survival indicator identified,Outcome survival equity is not measurable with current HIDR indicators.
Wealth-stratified lung cancer outcomes,Absent / limited,None identified in downloaded outcome tables,No wealth/education/residence-stratified lung cancer outcome table identified,Full cancer-care pathway equity cannot be estimated by socioeconomic group.
Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step12 environmental heterogeneity latency: step12 pathway visibility formal table.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step12 environmental heterogeneity latency: step12 pathway visibility formal table.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step12 environmental heterogeneity latency: step12 pathway visibility formal table.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step12 environmental heterogeneity latency: step12 pathway visibility formal table.,Note. Values are country-level unless otherwise indicated. Blank cells indicate not applicable or not estimated in the source output. Source file(s): step12 environmental heterogeneity latency: step12 pathway visibility formal table.
